Country,GDP_2024
Malawi,3.3
Mali,4.0
Malta,5.0
Mauritania,5.1
Mauritius,4.9
"Micronesia, Fed. States of",1.1
Moldova,2.6
Morocco,3.1
Namibia,2.6
Netherlands,0.6
New Zealand,1.0
Niger,10.4
Nigeria,3.3
Ethiopia,6.2
France,0.7
Germany,0.2
Ghana,2.8
Grenada,4.1
Guatemala,3.5
Guinea-Bissau,5.0
Guyana,33.9
Hong Kong SAR,2.9
India,6.8
Iraq,1.4
Ireland,1.5
Algeria,3.8
Antigua and Barbuda,6.1
Aruba,1.1
Azerbaijan,2.8
Bahrain,3.6
Barbados,3.7
Belarus,2.4
Belize,3.4
Benin,6.0
Bosnia and Herzegovina,2.5
Burundi,4.3
Cabo Verde,4.7
Cameroon,4.3
Canada,1.2
Chad,2.9
Chile,2.0
Comoros,3.5
Côte d'Ivoire,6.5
Czech Republic,0.7
Timor-Leste,3.5
Djibouti,6.5
Dominica,4.6
Ecuador,0.1
Egypt,3.0
Indonesia,5.0
Iran,3.3
Israel,1.6
Japan,0.9
Kenya,5.0
Kiribati,5.8
Kosovo,3.8
Kuwait,-1.4
Lao P.D.R.,4.0
Latvia,1.7
Liberia,5.3
Luxembourg,1.3
El Salvador,3.0
Estonia,-0.5
Eswatini,3.7
Fiji,3.0
Finland,0.4
Gabon,2.9
Georgia,5.7
Greece,2.0
Guinea,4.1
Haiti,-3.0
Honduras,3.6
Hungary,2.2
Iceland,1.7
Bulgaria,2.7
Burkina Faso,5.5
Cambodia,6.0
Central African Republic,1.3
"China, People's Republic of",4.6
Colombia,1.1
"Congo, Dem. Rep. of the",4.7
Costa Rica,4.0
Croatia,3.0
Cyprus,2.7
Denmark,2.1
Dominican Republic,5.4
Brunei Darussalam,2.4
Equatorial Guinea,0.5
Italy,0.7
Jamaica,1.8
Mexico,2.4
Qatar,2.0
Switzerland,1.3
Tajikistan,6.5
Tanzania,5.5
"Gambia, The",6.2
Trinidad and Tobago,2.4
Turkmenistan,2.3
Tuvalu,3.5
Ukraine,3.2
United Arab Emirates,3.5
United States,2.7
Uruguay,3.7
Vanuatu,3.0
Venezuela,4.0
Yemen,-1.0
Albania,3.1
Andorra,1.8
Angola,2.6
Argentina,-2.8
Armenia,6.0
Australia,1.5
Austria,0.4
Bangladesh,5.7
Belgium,1.2
Bhutan,4.3
Bolivia,1.6
Botswana,3.6
Brazil,2.2
Tunisia,1.9
"Türkiye, Republic of",3.1
Uganda,5.6
United Kingdom,0.5
Uzbekistan,5.2
Vietnam,5.8
Zambia,4.7
Zimbabwe,3.2
Russian Federation,3.2
San Marino,1.3
Senegal,8.3
Serbia,3.5
Sierra Leone,4.0
Singapore,2.1
Slovenia,2.0
Solomon Islands,2.4
"South Sudan, Republic of",5.6
Saint Kitts and Nevis,4.7
Sudan,-4.2
Suriname,3.0
Slovak Republic,2.1
Somalia,3.7
South Africa,0.9
Spain,1.9
Saint Lucia,2.4
Saint Vincent and the Grenadines,5.3
Sweden,0.2
Taiwan Province of China,3.1
Thailand,2.7
"Bahamas, The",2.3
Togo,5.3
Tonga,2.5
Mongolia,6.5
Montenegro,3.7
Mozambique,5.0
Myanmar,1.5
Nauru,1.6
Nepal,3.1
Nicaragua,3.5
North Macedonia ,2.7
Pakistan,2.0
Palau,12.4
Papua New Guinea,4.5
Paraguay,3.8
Philippines,6.2
Poland,3.1
Norway,1.5
Oman,1.2
Panama,2.5
Peru,2.5
Portugal,1.7
Puerto Rico,-0.2
"Congo, Republic of ",4.4
Romania,2.8
Rwanda,6.9
Samoa,5.4
São Tomé and Príncipe,2.9
Saudi Arabia,2.6
Seychelles,3.2
Jordan,2.6
Kazakhstan,3.1
"Korea, Republic of",2.3
Kyrgyz Republic,4.4
Lesotho,2.4
Libya,7.8
Lithuania,2.2
Macao SAR,13.9
Madagascar,4.5
Malaysia,4.4
Maldives,5.2
Marshall Islands,3.0
